iso3,country,year,voice_accountability,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption
KHM,Cambodia,2023,30.0876992,68.1942975,43.2504809,44.197569,38.0414044,25.1511491
KHM,Cambodia,2022,30.5089596,64.6317965,42.3466179,43.9068717,37.7715096,25.3269003
KHM,Cambodia,2021,31.5905697,63.3545387,38.8301377,44.0035363,37.2119036,25.7560532
KHM,Cambodia,2020,32.6413141,61.7916098,39.8596888,43.8788806,37.2361621,25.2346981
CMR,Cameroon,2024,35.1152314,39.3016895,35.769927,43.3706071,35.3872816,23.0734123
CMR,Cameroon,2023,35.0991466,38.3858407,36.1993871,43.2015391,35.6221974,25.0542347
CMR,Cameroon,2022,35.0777533,36.939668,36.0896547,42.9562951,36.1043707,25.3807225
CMR,Cameroon,2021,35.059913,38.9279612,36.0242139,41.9819588,35.977058,25.2724202
CMR,Cameroon,2020,35.8409283,38.1952254,35.2575226,43.0934355,35.8427577,26.4452349
CAN,Canada,2024,83.1660553,76.1173365,85.5449383,76.3468072,82.1066204,80.8871678
CAN,Canada,2023,83.3014896,76.6008039,85.2754831,79.6626569,81.6821735,80.7748172
CAN,Canada,2022,82.6946626,74.5623814,86.4805807,80.6051381,82.8712609,81.2937211
CAN,Canada,2021,82.6248889,78.8835053,84.0612449,80.5966057,83.6298227,80.5573179
CAN,Canada,2020,84.8078693,82.045178,84.157378,79.9847535,83.7891422,81.0957447
CYM,Cayman Islands,2024,73.6108253,90.8470192,74.3670612,71.8158452,71.25189,60.0904465
CYM,Cayman Islands,2023,73.6306066,90.9493533,74.38326,71.8061363,71.2530001,60.0653976
CYM,Cayman Islands,2022,73.666779,90.9412618,74.3679478,71.8018496,71.2598844,60.0913978
CYM,Cayman Islands,2021,73.7033364,90.8915031,73.0448309,71.8420873,71.6670122,60.0989661
CYM,Cayman Islands,2020,65.9905706,87.6721629,68.9319034,71.8571837,70.4596487,60.1210092
CAF,Central African Republic,2024,33.8988207,34.5847268,20.6860087,34.8637158,27.4518394,21.3390083
CAF,Central African Republic,2023,33.7295593,33.8805396,20.7985021,33.9129262,27.2788236,19.8884311
CAF,Central African Republic,2022,34.7356042,33.4008933,20.4182821,33.2641042,28.2686938,21.1886683
CAF,Central African Republic,2021,34.9237052,28.8455909,20.6664461,32.8807719,30.3279906,21.2114421
CAF,Central African Republic,2020,35.3894324,26.0838429,19.9905214,33.3324054,30.0750242,22.5042325
TCD,Chad,2024,30.267189,35.5073843,29.9423228,37.7058267,32.1012472,19.7006119
TCD,Chad,2023,32.7223209,37.1304216,27.707048,37.7675024,31.9257703,17.7195952
TCD,Chad,2022,32.1700841,37.7241132,28.4854174,38.4076691,33.1810243,18.1734954
TCD,Chad,2021,31.3601319,37.038907,27.220965,37.6904732,33.8494949,17.6528325
TCD,Chad,2020,33.625255,41.0848275,27.4402352,36.7671449,34.0153975,17.852829
CHL,Chile,2024,74.2500039,67.9673582,70.0934775,67.1756362,68.8582581,70.2378516
CHL,Chile,2023,74.8457834,67.3918808,70.7252118,68.2289179,68.4060469,68.740733
CHL,Chile,2022,74.5244114,65.8191317,68.3609589,67.9183786,69.7653654,71.0373983
CHL,Chile,2021,74.270095,68.3937218,68.2520802,68.6421149,69.9843269,71.0577107
CHL,Chile,2020,75.3228837,68.2219116,68.3104978,68.9035577,69.6875662,72.4609793
CHN,China,2024,27.9142454,63.2751622,68.7581244,53.7384426,46.9942092,49.649869
CHN,China,2023,28.0278575,62.9144825,66.4607065,53.5713664,47.4599153,50.1587695
CHN,China,2022,28.5527082,61.6400806,61.6310064,53.4303195,47.2602075,48.7299338
CHN,China,2021,28.6055622,61.4673891,64.3085821,54.4733371,47.69469,48.9819814
CHN,China,2020,29.8557072,60.7244539,62.3749054,53.8120983,48.1981013,48.929991
COL,Colombia,2024,57.4541954,49.3103253,49.1802654,55.0740059,47.3311328,41.90949
COL,Colombia,2023,57.3811943,52.2402416,50.521407,57.01675,47.2427231,41.6000941
COL,Colombia,2022,57.3542597,52.0722697,51.3712487,57.8029206,47.8491027,42.6648919
COL,Colombia,2021,56.6767594,48.5602739,50.7221373,58.5939804,48.2391764,42.3947687
COL,Colombia,2020,57.9482784,54.2459136,49.7272276,57.3994514,48.6606218,42.6636046
COM,Comoros,2024,35.1817444,62.1146741,27.8404845,35.1704573,37.5018196,24.7636371
COM,Comoros,2023,34.4250768,59.4998996,27.0562994,34.5985004,37.4430915,24.5196456
COM,Comoros,2022,34.2934843,59.4927902,24.5701015,35.1591507,36.6610836,20.7877038
COM,Comoros,2021,34.3964969,59.0937521,21.1626478,33.8788536,37.9960336,19.3385253
COM,Comoros,2020,35.5822766,58.1003511,24.6076926,34.7145039,38.612015,21.0871975
COD,"Congo, Dem. Rep.",2024,35.6079912,29.6954723,18.413102,34.598948300000004,28.9696892,17.1820286
COD,"Congo, Dem. Rep.",2023,37.1491449,32.0518364,19.1032577,35.0219567,29.3321758,17.713211
COD,"Congo, Dem. Rep.",2022,36.8240239,34.3693483,17.6222884,34.2431387,29.755029,17.2848698
COD,"Congo, Dem. Rep.",2021,36.8553096,38.0263926,18.1892974,33.9952104,30.6112254,17.4080699
COD,"Congo, Dem. Rep.",2020,37.1460557,35.0400198,18.6573441,33.2765131,29.1811037,18.3567866
COG,"Congo, Rep.",2024,33.8373029,61.4802566,29.745211,36.7010169,36.6808587,19.0396064
COG,"Congo, Rep.",2023,34.4073835,62.4872904,28.6504582,36.1497395,36.6058149,19.4276913
COG,"Congo, Rep.",2022,34.6222143,63.4245459,29.3419712,35.6511607,36.1958852,20.2483782
COG,"Congo, Rep.",2021,34.579552,57.0560333,28.2100045,36.5462503,35.7384609,20.6671169
COG,"Congo, Rep.",2020,35.4212134,56.0583227,28.522118,34.0353566,35.4696245,20.1187109
CRI,Costa Rica,2024,74.5525589,85.9764519,56.9189193,64.0390444,67.5792602,61.6036307
CRI,Costa Rica,2023,76.0739593,86.1234989,57.8366245,63.9239446,68.0333663,61.5697363
CRI,Costa Rica,2022,76.2945712,85.4710022,53.6977704,64.2055654,68.4538686,59.3313828
CRI,Costa Rica,2021,76.5700463,83.2688714,56.619285,63.7041888,67.4710513,59.8166838
CRI,Costa Rica,2020,77.8892877,81.6952443,55.7310024,63.3658161,67.8366858,63.1650182
CIV,Cote d'Ivoire,2024,46.0558972,51.4803735,45.2016572,52.2296396,47.0144438,42.0850347
CIV,Cote d'Ivoire,2023,45.5874151,52.4435059,45.1473715,51.8839317,46.5987933,40.5339482
CIV,Cote d'Ivoire,2022,45.3022051,53.658544,44.4409236,51.4636422,46.6008431,40.3592658
CIV,Cote d'Ivoire,2021,44.4484319,50.5963204,41.6068526,50.3026275,45.730157,38.8093512
CIV,Cote d'Ivoire,2020,45.1784572,45.9579809,41.8599477,49.7970195,46.322799,38.0109482
HRV,Croatia,2024,68.2024792,75.8257878,65.1411148,59.3714688,63.4614669,50.8643651
HRV,Croatia,2023,67.8614239,77.5653694,65.8990155,61.8626341,64.2928024,50.1564519
HRV,Croatia,2022,67.2458369,78.4001506,65.266939,59.5836638,64.4429262,50.0161882
HRV,Croatia,2021,67.1912168,76.7657831,66.0362591,60.0957508,64.0692267,49.7878596
HRV,Croatia,2020,66.8450089,76.9588991,61.1725164,58.045127,62.9659811,50.6014519
CUB,Cuba,2024,34.6460842,71.2840926,46.0999593,32.1969231,46.2326046,43.2746338
CUB,Cuba,2023,34.9817452,73.2488883,51.3036807,35.4489206,47.2236141,44.55853
CUB,Cuba,2022,35.3256306,74.3923665,51.7255071,36.4527605,48.3973496,43.3232499
CUB,Cuba,2021,35.3352482,74.4256073,49.4420441,36.3616506,45.8007158,43.3790052
CUB,Cuba,2020,36.0220564,77.317512,49.2032171,35.534856,47.0690861,44.9587983
CYP,Cyprus,2024,72.3797719,72.4855218,68.2497236,66.527046,68.8261756,58.6330074
CYP,Cyprus,2023,72.5799252,72.6175899,69.4521321,67.0424339,70.0296272,57.6250559
CYP,Cyprus,2022,72.4547001,72.404801,69.8303144,66.425314,70.1175877,59.2971423
CYP,Cyprus,2021,72.7343496,74.0794418,68.0623357,68.244642,70.238085,57.7843487
CYP,Cyprus,2020,75.3727676,73.6462217,70.8350822,69.0242564,69.8256976,57.2945096
CZE,Czechia,2024,78.8095441,82.4960109,74.2324658,74.2917232,77.4132754,66.70103
CZE,Czechia,2023,76.7906652,84.1796811,75.3620856,74.222575,76.9392272,65.0585388
CZE,Czechia,2022,75.836398,82.9033439,74.5789641,75.8062102,76.5724051,64.112328
CZE,Czechia,2021,75.0612863,82.9227315,72.7485643,74.4255721,77.0493137,62.6313238
CZE,Czechia,2020,74.3890559,81.4082597,72.4487589,72.0527635,76.3197503,60.6913367
DNK,Denmark,2024,90.0154146,79.0280276,88.5349172,85.3127667,91.4603795,94.1568337
DNK,Denmark,2023,90.4768537,81.2779733,89.37227,86.2390996,91.6330889,94.7577543
DNK,Denmark,2022,90.3305977,80.2709531,92.1406221,86.7303352,91.4261629,94.4556494
DNK,Denmark,2021,90.3144289,80.2591122,93.9328863,86.3661936,91.6166045,94.3057345
DNK,Denmark,2020,89.6133247,80.7263059,90.227523,86.029193,90.9532076,93.693418
DJI,Djibouti,2024,35.0586389,56.3908861,41.7537153,41.412989,39.5750381,29.8234701
DJI,Djibouti,2023,35.4171773,57.9682181,40.9149061,42.4294035,39.0741189,29.535172
DJI,Djibouti,2022,35.7267876,57.7394306,40.4871979,42.7288318,39.3829391,29.4595051
DJI,Djibouti,2021,35.8520424,56.8861688,38.7465615,42.7397803,39.2186888,29.463021
DJI,Djibouti,2020,35.9593957,58.0505993,38.2156211,41.7572492,38.9839796,31.3766334
DMA,Dominica,2024,63.4970873,86.9758947,54.238458,55.8063108,63.8053127,58.6428812
DMA,Dominica,2023,62.1513699,87.0792486,58.8922909,57.2884884,66.2508194,56.2354078
DMA,Dominica,2022,62.4245137,87.0710767,50.9083643,57.1838056,66.6737982,55.9319365
DMA,Dominica,2021,62.5675266,87.0208227,43.8675777,57.2175833,66.2048805,55.9400514
DMA,Dominica,2020,62.7273558,87.0500185,43.8260959,57.2947229,67.2646038,55.9900702
DOM,Dominican Republic,2024,60.3698685,75.9612671,52.7919493,58.132649,53.8278428,42.4808681
DOM,Dominican Republic,2023,59.4494634,73.8470193,52.230859100000004,55.6277752,52.8141789,39.1539431
DOM,Dominican Republic,2022,58.8978952,74.289238,48.9863657,53.9191641,52.190124,39.3094062
DOM,Dominican Republic,2021,58.4208789,71.8780557,48.4209842,54.6996665,51.3825289,36.8179688
DOM,Dominican Republic,2020,57.9585751,69.9277076,44.3335692,53.3266303,50.4017581,33.553066
ECU,Ecuador,2024,55.0090172,53.5770067,47.0703248,44.6676535,40.3557466,32.1538699
ECU,Ecuador,2023,54.6761706,59.8413932,48.1801661,45.4081438,42.1867434,33.2810036
ECU,Ecuador,2022,55.2767755,61.9036395,51.3720731,47.3185439,46.9912765,34.5894771
ECU,Ecuador,2021,55.5302221,62.5069701,49.187113600000004,46.1076615,49.5387927,35.0480794
ECU,Ecuador,2020,54.0647929,63.3085413,44.6613118,43.2556587,47.1952973,37.3619014
EGY,"Egypt, Arab Rep.",2024,28.8341534,49.1898949,49.4532828,46.9854499,44.0301801,31.1152849
EGY,"Egypt, Arab Rep.",2023,28.799152,50.5325121,50.5676507,45.8231309,43.5801616,31.3194268
EGY,"Egypt, Arab Rep.",2022,28.2938498,49.5934665,48.5516052,44.3195704,43.6640534,32.1137471
EGY,"Egypt, Arab Rep.",2021,27.8305747,47.6720665,46.9635849,45.8709072,42.8773177,31.9182645
EGY,"Egypt, Arab Rep.",2020,29.0711441,46.809485,46.7836577,44.8386204,43.3703097,31.8344504
SLV,El Salvador,2024,43.0499183,65.9991479,47.7787327,52.083202,44.6872968,36.1837975
SLV,El Salvador,2023,45.7895881,67.2989159,49.4975432,49.8317655,44.795442,35.5083699
SLV,El Salvador,2022,46.7346053,64.1882591,43.813815,48.7776873,40.3615724,34.0875275
